I, [2018-06-12T09:59:46.246570 #14904]  INFO -- Kitchen: -----> Starting Kitchen (v1.20.0)
E, [2018-06-12T09:59:46.246819 #14904] ERROR -- Kitchen: ------Exception-------
E, [2018-06-12T09:59:46.246853 #14904] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-06-12T09:59:46.246866 #14904] ERROR -- Kitchen: Message: Kitchen YAML file /storage/chef/cookbooks/.kitchen.yml does not exist.
E, [2018-06-12T09:59:46.246878 #14904] ERROR -- Kitchen: ----------------------
E, [2018-06-12T09:59:46.246889 #14904] ERROR -- Kitchen: ------Backtrace-------
E, [2018-06-12T09:59:46.246899 #14904] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2018-06-12T09:59:46.246910 #14904] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:152:in `data'
E, [2018-06-12T09:59:46.246921 #14904] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:131:in `suites'
E, [2018-06-12T09:59:46.246932 #14904] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2018-06-12T09:59:46.246942 #14904] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2018-06-12T09:59:46.246953 #14904] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:117:in `instances'
E, [2018-06-12T09:59:46.246963 #14904] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-06-12T09:59:46.246974 #14904] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2018-06-12T09:59:46.246984 #14904] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2018-06-12T09:59:46.246994 #14904] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2018-06-12T09:59:46.247016 #14904] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command/action.rb:34:in `call'
E, [2018-06-12T09:59:46.247027 #14904] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/cli.rb:52:in `perform'
E, [2018-06-12T09:59:46.247038 #14904] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2018-06-12T09:59:46.247048 #14904] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2018-06-12T09:59:46.247058 #14904] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-06-12T09:59:46.247068 #14904] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2018-06-12T09:59:46.247078 #14904] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2018-06-12T09:59:46.247088 #14904] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/bin/kitchen:13:in `block in <top (required)>'
E, [2018-06-12T09:59:46.247099 #14904] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2018-06-12T09:59:46.247109 #14904] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/bin/kitchen:13:in `<top (required)>'
E, [2018-06-12T09:59:46.247119 #14904] ERROR -- Kitchen: /usr/bin/kitchen:250:in `load'
E, [2018-06-12T09:59:46.247128 #14904] ERROR -- Kitchen: /usr/bin/kitchen:250:in `<main>'
E, [2018-06-12T09:59:46.247138 #14904] ERROR -- Kitchen: ----End Backtrace-----
